domain,db_name,db_host,nid,platform_path
ethnobotanyofhmong.myspecies.info,ethnobotanyofhmo,157.140.2.164,1083.0,/var/aegir/platforms/scratchpads-2.10.1
mauritiusbeetles.myspecies.info,mauritiusbeetl_0,157.140.2.164,2989.0,/var/aegir/platforms/scratchpads-2.10.1
types-nmp.cz,typesnmpcz_0,157.140.2.164,1243.0,/var/aegir/platforms/scratchpads-2.10.1
imembracoidea.myspecies.info,imembracoideamys,157.140.2.164,3505.0,/var/aegir/platforms/scratchpads-2.10.1
www.gallnem.org,gallnemorg_0,157.140.2.164,29905.0,/var/aegir/platforms/scratchpads-2.10.1
nmeeprom.myspecies.info,nmeeprommyspecie,157.140.2.164,3037.0,/var/aegir/platforms/scratchpads-2.10.1
nzfossilconoidea.myspecies.info,nzfossilconoidea,157.140.2.153,6264.0,/var/aegir/platforms/scratchpads-2.10.1
ukcetcea.myspecies.info,ukcetceamyspec_0,157.140.2.164,3389.0,/var/aegir/platforms/scratchpads-2.10.1
cryptids.myspecies.info,cryptidsmyspec_0,157.140.2.171,6131.0,/var/aegir/platforms/scratchpads-2.10.1
nolinoideae.e-monocot.org,nolinoideaeemono,157.140.2.171,2163.0,/var/aegir/platforms/scratchpads-2.10.1
zjplant.myspecies.info,zjplantmyspecies,157.140.2.153,31038.0,/var/aegir/platforms/scratchpads-2.10.1
yunnanfern.myspecies.info,yunnanfernmyspec,157.140.2.171,31041.0,/var/aegir/platforms/scratchpads-2.10.1
squatlobsters.myspecies.info,squatlobstersmys,157.140.2.153,3733.0,/var/aegir/platforms/scratchpads-2.9.16
phoridae.myspecies.info,phoridaemyspec_0,157.140.2.171,2633.0,/var/aegir/platforms/scratchpads-2.10.1
penacova.myspecies.info,penacovamyspecie,157.140.2.171,43151.0,/var/aegir/platforms/scratchpads-2.10.1
algaevision.myspecies.info,algaevisionmyspe,157.140.2.171,4759.0,/var/aegir/platforms/scratchpads-2.10.1
antsme.myspecies.info,antsmemyspecie_0,157.140.2.171,16623.0,/var/aegir/platforms/scratchpads-2.10.1
floracostaricensis.myspecies.info,floracostaricens,157.140.2.153,1888.0,/var/aegir/platforms/scratchpads-2.10.1
